"id","iata_code","icao_code","name","city_id","city_name","time_zone_offset","latitude","longitude","score","enabled","duffel_id","__drizzlerowid__"
"ff7o7eeuk3fqiod03q8a6rep","UVE","NWWV","Ouvéa Airport","qio4xy9too9w9sbykv1vmnoa","Ouvéa","+11:00","-20.64055","166.5728","1","0",,"6016"
"ff8d64685ci8rf7isi6artna","TGN","YLTV","Latrobe Valley Airport","kwrg08sz1f8r1rpaoqcflmxx","Morwell","+10:00","-38.20722","146.47","0","0",,"4333"
"ffaa09sn8rztwlds3oxjwpz1","RDU","KRDU","Raleigh–Durham International Airpor","vhmm9bb8ebz8y7knbqv0fk2n","Raleigh/Durham","-04:00","35.87945","-78.78722","7","1",,"6631"
"ffax9bd1yiimf0ttyiamn1jl","HTZ","SKHC","Hato Corozal Airport","rs2jl3o08aa1nvs6m1hgefpz","Hato Corozal","-05:00","6.15306","-71.76138","0","0",,"3081"
"ffdk27yghcb91t65hp6jwcp0","MNY","AGGO","Mono Airport","rfl9kphyh12efrpp5rzepm7v","Stirling Island","+11:00","-7.41694","155.565","0","0",,"5254"
"ffmflk4pkxwrwl67oqvgrhaf","SXL","EISG","Sligo Airport","sxktck6zpwkuvrqcqhcuw62m","Sligo","+01:00","54.28028","-8.59916","0","0",,"7486"
"ffne98xuwxs67bd8risuq2mf","SUK","UEBS","Sakkyryr Airport","g6zjo8lpbnf7oy8u1yl6zarr","Batagay-Alyta","+09:00","67.79195","130.39079","0","1",,"6962"
"ffsvf4w1bv36tk6kyvpg1cun","YSM","CYSM","Fort Smith Airport","tdeqek3avqindxeo2m0og172","Fort Smith","-06:00","60.02028","-111.9619","1","1",,"2526"
"ffurj4a9ik2j8z1jeuf4h3i2","LEM","KLEM","Lemmon Municipal Airport","ndf03agguvoqned7f19xi4y0","Lemmon","-06:00","45.92","-102.1","0","1",,"4397"
"ffxc0tl3qd94ngawhkni24h3","LCN","YBLC","Balcanoona Airport","sumydenn31o81rzfhne7lpdp","Balcanoona","+09:30","-30.535","139.33701","0","0",,"598"
"ffyzofn9ditj31i4dxg08twt","HGE","SVHG","Higuerote Airport","nb9gt7flj3fu5wdbnxoryezu","Higuerote","-04:00","10.46223","-66.09361","0","0",,"3161"
"fg26fkjq0f3uuggt4vnxi6px","LKN","ENLK","Leknes Airport","ram8hhq9mtcsun1sgo8cak2j","Leknes","+02:00","68.15417","13.61334","1","1",,"4391"
"fg2j1ruavhbbqm5x016aehwk","THU","BGTL","Thule Air Base","yi13exyur5wfy3ehtvj8sqy8","Pituffik","-03:00","76.53112","-68.70166","0","1",,"8058"
"fgenpkf085fmk7t7tbjxkoo0","WSA","imb0","Wasua Airport","m7zf1xcs5fpszzh18v3wz92j","Wasua","+10:00","-8.28305","142.89999","0","0",,"8628"
"fgh7uduishqbi5m01vafltrr","BWA","VNBW","Gautam Buddha Airport","dvq6x3maadd3xm9i2pb668x9","Bhairawa","+05:45","27.50584","83.41639","0","1",,"2675"
"fgj0wjf825lbt1sp4znt6fbc","GJM","SBGM","Guajará-Mirim Airport","o7g7y4za76bevscbrg2p6kn5","Guajara-Mirim","-04:00","-10.78638","-65.28472","0","0",,"2935"
"fgqpcz206fmd96ykrik3xsws","VSG","UKCW","Luhansk International Airport","tajq27xadmmfaijr35pxa3aa","Luhansk","+03:00","48.42139","39.37306","0","0",,"4615"
"fgr45ehqaw17amjuwjkrgnhj","AWN","YADS","Alton Downs Airport","ny3ycituzhhia264g6bud8c3","Alton Downs","+09:30","-26.47999","139.3","0","0",,"223"
"fgtbbc56zrcd2x2l7kge78gd","FEC","SBFE","Feira de Santana Airport","stvx199yw5lj2u19w3d8lt9z","Feira de Santana","-03:00","-12.20249","-38.90611","0","1",,"2442"
"fgv39km50zbpso5knqrdhcbj","KDJ","FOGJ","Ndjolé Ville Airport","y525mz8mktgbi8l3xjhbs1nn","N'Djolé","+01:00","-0.25","10.75","0","0",,"5575"
"fgvllovko7xwap5kuq5va5j4","CLG","x9ej","New Coalinga Municipal Airport","h71hhhhkpwvrb4pvbp393o2c","Coalinga","-07:00","36.16084","-120.2939","0","0",,"5622"
"fh016jidol1u6pvnjp6zrmvd","LCP","z6ob","Loncopue Airport","v4l586nnz1ags7j4oldkrrt7","Loncopue","-03:00","-38.08","-70.67","0","0",,"4528"
"fh01b01cmr68fmmvc1hnjc3b","PTZ","SESM","Rio Amazonas Airport","jxc70iiriujt5etl3u852xr2","Shell Mera","-05:00","-1.51694","-78.03","0","0",,"6751"
"fh8hng3cbt1xegjjjzx9e6lp","LNL","ZLLN","Longnan Chengzhou Airport","sgpej8d7on3si0k7btxvwzx7","Longnan","+08:00","33.79056","105.7956","0","1",,"4549"
"fh8nbpm4kr9xqng7apjyynqi","RES","SARE","Resistencia International Airport","d7v8euoty612jn3glri7tzd5","Resistencia","-03:00","-27.45","-59.05611","1","1",,"6711"
"fha7ca60zm9dnxfnk8x1kime","KWO","AYKW","Kawito Airport","g5i8ngx9midu4ul2dybxvzml","Kawito","+10:00","-7.98305","142.8","0","1",,"3822"
"fha860jst4amjh8iy224gu45","SIA","ZLSN","Xi'an Xiguan Airport","acbjiifnsk72nv9sf3br549s","Xi'an","+08:00","34.375","109.1225","17","1",,"8830"
"fhb6olzvmc6kpxfqgrpe60xp","LOO","DAUL","L'Mekrareg Airport","mqaazdrjnu6si6pn84rviyfz","Laghouat","+01:00","33.76445","2.92834","0","1",,"4506"
"fhio8fl18px8saqd7jndp32s","PAB","VEBU","Bilaspur Airport","k5x6x3gu9nspis6su3gxz598","Bilaspur","+05:30","21.98834","82.11112","0","1",,"900"
"fhoihoowcrxky8b7htbofcue","WAE","OEWD","Wadi al-Dawasir Domestic Airport","r2xk395uh02uu2gmbr4sknrj","Wadi Al Dawasir","+03:00","20.50417","45.19945","0","1",,"8558"
"fhs70a806byikm83p1zbazna","DLB","kk37","Dalbertis Airport","tx7ow02xlhlw3v9s9j3e4ife","Dalbertis","+10:00","-8.45","118.8","0","0",,"1860"
"fhu1mkukmb4c64gvukb1m498","IFJ","BIIS","Ísafjörður Airport","t5p7oqmqliwmeef5lodbidyj","Ísafjörður","+00:00","66.05806","-23.13527","0","1",,"3416"
"fhu6obu7zdqwqpkmrulrtiyq","TBY","FBTS","Tshabong Airport","geboq0zcy2cr6vk1q5nt5hqq","Tshabong","+02:00","-26.03416","22.40167","0","0",,"8230"
